question,answer
What does a Cosmopolitan taste like?,A Cosmopolitan tastes citrusy.
What does a Coffee-Vodka taste like?,A Coffee-Vodka tastes sweet.
What does a Casino Royale taste like?,"A Casino Royale tastes sweet, citrusy, slightly bitter."
What does a Corpse Reviver taste like?,"A Corpse Reviver tastes sweet, citrusy."
What does a Chocolate Milk taste like?,A Chocolate Milk tastes sweet.
What does a Clove Cocktail taste like?,A Clove Cocktail tastes slightly bitter.
What does a Coffee Liqueur taste like?,A Coffee Liqueur tastes sweet.
What does a Coke and Drops taste like?,A Coke and Drops tastes citrusy.
What does a Chocolate Drink taste like?,A Chocolate Drink tastes spirit forward.
What does a Cranberry Punch taste like?,"A Cranberry Punch tastes sweet, refreshing."
What does a Derby taste like?,"A Derby tastes refreshing, slightly bitter."
What does a Diesel taste like?,A Diesel tastes spirit forward.
What does a Daiquiri taste like?,"A Daiquiri tastes sweet, citrusy."
What does a Danbooka taste like?,A Danbooka tastes spirit forward.
What does a Downshift taste like?,A Downshift tastes spirit forward.
What does a Dragonfly taste like?,"A Dragonfly tastes citrusy, refreshing."
What does a Dry Martini taste like?,A Dry Martini tastes slightly bitter.
What does a Dry Rob Roy taste like?,"A Dry Rob Roy tastes citrusy, slightly bitter."
What does a Dirty Nipple taste like?,A Dirty Nipple tastes sweet.
What does a Dirty Martini taste like?,"A Dirty Martini tastes citrusy, slightly bitter."
What does a Darkwood Sling taste like?,A Darkwood Sling tastes refreshing.
What does a Dark and Stormy taste like?,A Dark and Stormy tastes refreshing.
What does a Dark Caipirinha taste like?,"A Dark Caipirinha tastes sweet, citrusy."
What does a Duchamp's Punch taste like?,"A Duchamp's Punch tastes sweet, citrusy, slightly bitter."
What does a Damned if you do taste like?,A Damned if you do tastes spirit forward.
What does a Dubonnet Cocktail taste like?,"A Dubonnet Cocktail tastes citrusy, slightly bitter."
What does a Drinking Chocolate taste like?,A Drinking Chocolate tastes sweet.
What does a Death in the Afternoon taste like?,A Death in the Afternoon tastes spirit forward.
What does a Egg Cream taste like?,"A Egg Cream tastes sweet, refreshing."
What does a Egg Nog #4 taste like?,A Egg Nog #4 tastes sweet.
What does a English Highball taste like?,"A English Highball tastes citrusy, slightly bitter."
What does a Espresso Martini taste like?,A Espresso Martini tastes sweet.
What does a Espresso Rumtini taste like?,A Espresso Rumtini tastes sweet.
What does a Egg Nog - Healthy taste like?,A Egg Nog - Healthy tastes sweet.
What does a English Rose Cocktail taste like?,"A English Rose Cocktail tastes sweet, citrusy, slightly bitter."
What does a Elderflower Caipirinha taste like?,A Elderflower Caipirinha tastes citrusy.
What does a Egg-Nog - Classic Cooked taste like?,A Egg-Nog - Classic Cooked tastes sweet.
What does a Empelln Cocina's Fat-Washed Mezcal taste like?,A Empelln Cocina's Fat-Washed Mezcal tastes sweet.
What does a Fros taste like?,"A Fros tastes sweet, citrusy."
What does a Frapp taste like?,A Frapp tastes sweet.
What does a Foxy Lady taste like?,A Foxy Lady tastes sweet.
What does a French 75 taste like?,"A French 75 tastes sweet, citrusy."
What does a Figgy Thyme taste like?,"A Figgy Thyme tastes refreshing, slightly bitter."
What does a Frisco Sour taste like?,A Frisco Sour tastes citrusy.
What does a Fruit Shake taste like?,A Fruit Shake tastes spirit forward.
What does a Fruit Cooler taste like?,"A Fruit Cooler tastes sweet, citrusy, refreshing."
What does a Freddy Kruger taste like?,A Freddy Kruger tastes spirit forward.
What does a Funk and Soul taste like?,"A Funk and Soul tastes citrusy, refreshing."
What does a Fuzzy Asshole taste like?,A Fuzzy Asshole tastes spirit forward.
What does a French Martini taste like?,A French Martini tastes sweet.
What does a French Negroni taste like?,A French Negroni tastes slightly bitter.
What does a Fahrenheit 5000 taste like?,A Fahrenheit 5000 tastes spirit forward.
What does a Flying Dutchman taste like?,A Flying Dutchman tastes sweet.
What does a Frozen Daiquiri taste like?,"A Frozen Daiquiri tastes sweet, citrusy."
What does a Fruit Flip-Flop taste like?,A Fruit Flip-Flop tastes spirit forward.
What does a Flying Scotchman taste like?,"A Flying Scotchman tastes sweet, slightly bitter."
What does a French Connection taste like?,A French Connection tastes spirit forward.
What does a Flaming Dr. Pepper taste like?,A Flaming Dr. Pepper tastes spirit forward.
What does a Flaming Lamborghini taste like?,A Flaming Lamborghini tastes sweet.
What does a Flander's Flake-Out taste like?,A Flander's Flake-Out tastes spirit forward.
What does a Frozen Mint Daiquiri taste like?,"A Frozen Mint Daiquiri tastes sweet, citrusy, refreshing."
What does a Frozen Pineapple Daiquiri taste like?,"A Frozen Pineapple Daiquiri tastes sweet, citrusy."
What does a GG taste like?,A GG tastes refreshing.
What does a Gimlet taste like?,"A Gimlet tastes sweet, citrusy."
What does a Godchild taste like?,A Godchild tastes sweet.
What does a Gin Fizz taste like?,"A Gin Fizz tastes sweet, citrusy."
What does a Gin Sour taste like?,"A Gin Sour tastes sweet, citrusy."
What does a Gagliardo taste like?,A Gagliardo tastes citrusy.
What does a Godmother taste like?,A Godmother tastes spirit forward.
What does a Godfather taste like?,A Godfather tastes spirit forward.
What does a Gluehwein taste like?,"A Gluehwein tastes sweet, citrusy."
What does a Gin Tonic taste like?,"A Gin Tonic tastes citrusy, refreshing."
What does a Gin Toddy taste like?,"A Gin Toddy tastes sweet, citrusy."
What does a Gin Smash taste like?,"A Gin Smash tastes sweet, refreshing."
What does a Gin Daisy taste like?,"A Gin Daisy tastes sweet, citrusy."
What does a Gin Lemon taste like?,A Gin Lemon tastes citrusy.
What does a Gin Sling taste like?,"A Gin Sling tastes sweet, citrusy."
What does a Greyhound taste like?,A Greyhound tastes spirit forward.
What does a Gin Rickey taste like?,"A Gin Rickey tastes sweet, citrusy, refreshing."
What does a Gin Squirt taste like?,A Gin Squirt tastes sweet.
What does a Grand Blue taste like?,A Grand Blue tastes spirit forward.
What does a Gin Cooler taste like?,"A Gin Cooler tastes sweet, citrusy."
What does a Gin Swizzle taste like?,"A Gin Swizzle tastes sweet, citrusy, refreshing, slightly bitter."
What does a Grass Skirt taste like?,A Grass Skirt tastes sweet.
What does a Grasshopper taste like?,A Grasshopper tastes sweet.
What does a Grim Reaper taste like?,A Grim Reaper tastes sweet.
What does a Gin and Soda taste like?,"A Gin and Soda tastes citrusy, refreshing."
What does a H.D. taste like?,A H.D. tastes sweet.
What does a Honey Bee taste like?,A Honey Bee tastes citrusy.
What does a Hot Toddy taste like?,A Hot Toddy tastes citrusy.
What does a Herbal flame taste like?,A Herbal flame tastes spirit forward.
What does a Horse's Neck taste like?,"A Horse's Neck tastes citrusy, refreshing, slightly bitter."
What does a Happy Skipper taste like?,"A Happy Skipper tastes citrusy, refreshing."
What does a Hunter's Moon taste like?,"A Hunter's Moon tastes sweet, citrusy, slightly bitter."
What does a Halloween Punch taste like?,A Halloween Punch tastes refreshing.
What does a Havana Cocktail taste like?,"A Havana Cocktail tastes sweet, citrusy."
What does a Holloween Punch taste like?,A Holloween Punch tastes spirit forward.
What does a Homemade Kahlua taste like?,A Homemade Kahlua tastes sweet.
What does a Hot Creamy Bush taste like?,A Hot Creamy Bush tastes sweet.
What does a Harvey Wallbanger taste like?,A Harvey Wallbanger tastes spirit forward.
What does a Hawaiian Cocktail taste like?,A Hawaiian Cocktail tastes sweet.
What does a Hemingway Special taste like?,"A Hemingway Special tastes sweet, citrusy."
What does a Highland Fling Cocktail taste like?,A Highland Fling Cocktail tastes slightly bitter.
What does a Hot Chocolate to Die for taste like?,A Hot Chocolate to Die for tastes spirit forward.
What does a Ipamena taste like?,"A Ipamena tastes sweet, citrusy, refreshing."
What does a Ice Pick taste like?,A Ice Pick tastes citrusy.
What does a Iced Coffee taste like?,A Iced Coffee tastes sweet.
What does a Irish Cream taste like?,A Irish Cream tastes sweet.
What does a Irish Coffee taste like?,A Irish Coffee tastes sweet.
What does a Irish Spring taste like?,A Irish Spring tastes spirit forward.
What does a Imperial Fizz taste like?,"A Imperial Fizz tastes sweet, citrusy."
What does a Irish Russian taste like?,A Irish Russian tastes spirit forward.
What does a Imperial Cocktail taste like?,"A Imperial Cocktail tastes citrusy, slightly bitter."
What does a Iced Coffee Fillip taste like?,A Iced Coffee Fillip tastes spirit forward.
What does a Irish Curdling Cow taste like?,A Irish Curdling Cow tastes sweet.
What does a Jam Donut taste like?,A Jam Donut tastes sweet.
What does a Jitterbug taste like?,"A Jitterbug tastes sweet, citrusy, refreshing."
What does a Jackhammer taste like?,A Jackhammer tastes spirit forward.
What does a Jelly Bean taste like?,A Jelly Bean tastes spirit forward.
What does a Jello shots taste like?,A Jello shots tastes spirit forward.
What does a Jamaica Kiss taste like?,A Jamaica Kiss tastes sweet.
What does a John Collins taste like?,"A John Collins tastes sweet, citrusy, refreshing."
What does a Japanese Fizz taste like?,"A Japanese Fizz tastes sweet, citrusy."
What does a Jamaican Coffee taste like?,A Jamaican Coffee tastes sweet.
What does a Just a Moonmint taste like?,"A Just a Moonmint tastes sweet, refreshing."
What does a Jewel Of The Nile taste like?,A Jewel Of The Nile tastes spirit forward.
What does a Jack Rose Cocktail taste like?,"A Jack Rose Cocktail tastes sweet, citrusy."
What does a Jack's Vanilla Coke taste like?,A Jack's Vanilla Coke tastes spirit forward.
What does a Kir taste like?,A Kir tastes spirit forward.
What does a Karsk taste like?,A Karsk tastes spirit forward.
What does a Kamikaze taste like?,"A Kamikaze tastes sweet, citrusy."
What does a Kir Royale taste like?,A Kir Royale tastes spirit forward.
What does a Kiwi Lemon taste like?,"A Kiwi Lemon tastes sweet, citrusy."
What does a Kurant Tea taste like?,A Kurant Tea tastes sweet.
What does a Kioki Coffee taste like?,A Kioki Coffee tastes spirit forward.
What does a Kiwi Martini taste like?,A Kiwi Martini tastes sweet.
What does a Kiss me Quick taste like?,A Kiss me Quick tastes spirit forward.
What does a Kool-Aid Shot taste like?,A Kool-Aid Shot tastes sweet.
What does a Kool First Aid taste like?,A Kool First Aid tastes spirit forward.
What does a Kentucky B And B taste like?,A Kentucky B And B tastes spirit forward.
What does a Kentucky Colonel taste like?,A Kentucky Colonel tastes citrusy.
What does a Kool-Aid Slammer taste like?,A Kool-Aid Slammer tastes spirit forward.
What does a Kiwi Papaya Smoothie taste like?,A Kiwi Papaya Smoothie tastes spirit forward.
What does a Kill the cold Smoothie taste like?,"A Kill the cold Smoothie tastes citrusy, refreshing."
What does a Limeade taste like?,"A Limeade tastes sweet, citrusy, refreshing."
What does a Lunch Box taste like?,A Lunch Box tastes spirit forward.
What does a Lemon Drop taste like?,A Lemon Drop tastes citrusy.
What does a Lemon Shot taste like?,"A Lemon Shot tastes sweet, citrusy."
What does a Long vodka taste like?,"A Long vodka tastes citrusy, refreshing, slightly bitter."
What does a Lassi Khara taste like?,A Lassi Khara tastes spirit forward.
What does a Lassi Raita taste like?,"A Lassi Raita tastes sweet, citrusy."
What does a Lemouroudji taste like?,"A Lemouroudji tastes sweet, citrusy, refreshing."
What does a Loch Lomond taste like?,"A Loch Lomond tastes citrusy, slightly bitter."
What does a London Town taste like?,"A London Town tastes sweet, slightly bitter."
What does a Lassi - Mango taste like?,A Lassi - Mango tastes sweet.
What does a Lassi - Sweet taste like?,"A Lassi - Sweet tastes sweet, citrusy."
What does a Limona Corona taste like?,A Limona Corona tastes spirit forward.
What does a Lord And Lady taste like?,A Lord And Lady tastes spirit forward.
What does a Lady Love Fizz taste like?,"A Lady Love Fizz tastes sweet, citrusy."
What does a Long Island Tea taste like?,A Long Island Tea tastes citrusy.
What does a Lone Tree Cooler taste like?,"A Lone Tree Cooler tastes sweet, citrusy, slightly bitter."
What does a Lone Tree Cocktail taste like?,A Lone Tree Cocktail tastes slightly bitter.
What does a Lazy Coconut Paloma taste like?,"A Lazy Coconut Paloma tastes sweet, refreshing."
What does a Long Island Iced Tea taste like?,A Long Island Iced Tea tastes citrusy.
What does a Lemon Elderflower Spritzer taste like?,"A Lemon Elderflower Spritzer tastes citrusy, refreshing."
What does a Lassi - A South Indian Drink taste like?,A Lassi - A South Indian Drink tastes refreshing.
What does a Melya taste like?,A Melya tastes spirit forward.
What does a Mimosa taste like?,A Mimosa tastes spirit forward.
What does a Mai Tai taste like?,A Mai Tai tastes sweet.
